ISIN,Name,AvgDPS,AvgEPSdil,lastEQR,oldestDivDate
AT00000VIE62,Flughafen Wien Aktie [WKN DE: A2AMK9 / ISIN: AT00000VIE62],0.4114285714285714,0.9157142857142856,51.94,2003
AT0000644505,Lenzing Aktie [WKN: 64450 / ISIN: AT0000644505],1.9714285714285715,5.3100000000000005,50.21,2003
AT0000946652,Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652],1.2,2.007142857142857,52.3,2004
