ISIN,Name,URL,Cur,AvgDPS,AvgEPSdil,lastEQR,oldestDivDate,GrahamVal,Price,Price/Graham
IE00BZ12WP82,"Linde Aktie
WKN DE: A2DSYC / ISIN: IE00BZ12WP82",https://www.finanzen.at/bilanz_guv/linde,EUR,2.601428571428571,5.361428571428571,33.52,2003,107.22857142857143,136.3,1.2711164401811885
FR0000120321,"LOréal Aktie
WKN: 853888 / ISIN: FR0000120321",https://www.finanzen.at/bilanz_guv/lor%C3%A9al,EUR,2.778571428571429,5.74,70.89,2003,114.80000000000001,205.5,1.7900696864111496
IT0001479374,"Luxottica Group Aktie
WKN: 592587 / ISIN: IT0001479374",https://www.finanzen.at/bilanz_guv/luxottica_group,EUR,0.7514285714285716,1.4600000000000002,47.16,2009,29.200000000000003,50.9,1.7431506849315066
DE0006599905,"Merck Aktie
WKN: 659990 / ISIN: DE0006599905",https://www.finanzen.at/bilanz_guv/merck,EUR,1.0071428571428571,2.9214285714285713,47.87,2003,58.42857142857142,95.24,1.6300244498777507
FI0009007835,"Metso Aktie
WKN: 923876 / ISIN: FI0009007835",https://www.finanzen.at/bilanz_guv/metso,EUR,1.25,1.8142857142857143,33.23,2012,36.285714285714285,24.57,0.6771259842519686
FI0009005318,"Nokian Renkaat Aktie
WKN: 895780 / ISIN: FI0009005318",https://www.finanzen.at/bilanz_guv/nokian_renkaat,EUR,1.4485714285714284,1.8571428571428572,71.14,2011,37.142857142857146,27.86,0.750076923076923
AT0000743059,"OMV Aktie
WKN: 74305 / ISIN: AT0000743059",https://www.finanzen.at/bilanz_guv/omv,EUR,1.2142857142857142,1.272857142857143,36.57,2003,25.45714285714286,41.52,1.630976430976431
FI0009014377,"Orion b Aktie
WKN DE: A0J3QM / ISIN: FI0009014377",https://www.finanzen.at/bilanz_guv/orion,EUR,1.3214285714285714,1.5414285714285714,61.08,2011,30.82857142857143,29.34,0.9517145505097312
FR0000120693,"Pernod Ricard Aktie
WKN: 853373 / ISIN: FR0000120693",https://www.finanzen.at/bilanz_guv/pernod_ricard,EUR,1.76,4.288333333333334,38.07,2009,85.76666666666668,139.75,1.6294209094442282
NL0000009538,"Philips Aktie
WKN: 940602 / ISIN: NL0000009538",https://www.finanzen.at/bilanz_guv/philips,EUR,0.7857142857142857,0.647142857142857,38.31,2003,12.94285714285714,32.45,2.5071743929359833
DE000PAH0038,"Porsche vz Aktie
WKN DE: PAH003 / ISIN: DE000PAH0038",https://www.finanzen.at/bilanz_guv/porsche,EUR,1.5099999999999998,8.270000000000001,96.6,2004,165.40000000000003,54.2,0.3276904474002418
DE0006969603,"PUMA Aktie
WKN: 696960 / ISIN: DE0006969603",https://www.finanzen.at/bilanz_guv/puma,EUR,2.4642857142857144,5.778571428571428,62.78,2003,115.57142857142856,454.0,3.9283065512978994
FR0010451203,"Rexel Aktie
WKN DE: A0MM7Q / ISIN: FR0010451203",https://www.finanzen.at/bilanz_guv/rexel_1,EUR,0.5885714285714284,0.6942857142857142,39.83,2012,13.885714285714283,9.56,0.6884773662551442
DE0007042301,"RHÖN-KLINIKUM Aktie
WKN: 704230 / ISIN: DE0007042301",https://www.finanzen.at/bilanz_guv/rhoen-klinikum,EUR,0.44571428571428573,2.0471428571428567,49.25,2003,40.942857142857136,22.32,0.5451500348918354
JP3854600008,"Honda Motor Aktie
WKN: 853226 / ISIN: JP3854600008",https://www.finanzen.at/bilanz_guv/honda,EUR,81.0,242.585,37.37,2011,4851.7,23.87,0.004919924974751118
JP3205800000,"Kao Aktie
WKN: 857031 / ISIN: JP3205800000",https://www.finanzen.at/bilanz_guv/kao,EUR,85.42857142857143,182.65,57.08,2009,3653.0,65.61,0.01796058034492198
JP3240400006,"Kikkoman Aktie
WKN: 856983 / ISIN: JP3240400006",https://www.finanzen.at/bilanz_guv/kikkoman,EUR,23.833333333333332,77.59666666666666,50.08,2009,1551.9333333333334,49.81,0.032095450835516987
JP3258000003,"Kirin Aktie
WKN: 853682 / ISIN: JP3258000003",https://www.finanzen.at/bilanz_guv/kirin,EUR,36.142857142857146,76.17714285714285,32.16,2009,1523.542857142857,19.47,0.012779423899182357
JP3902400005,"Mitsubishi Electric Aktie
WKN: 856532 / ISIN: JP3902400005",https://www.finanzen.at/bilanz_guv/mitsubishi_electric,EUR,20.166666666666668,78.315,33.39,2009,1566.3,10.57,0.006748387920577157
FI0009007132,"Fortum Aktie
WKN: 916660 / ISIN: FI0009007132",https://www.finanzen.at/bilanz_guv/fortum,EUR,1.0714285714285714,1.4085714285714286,41.44,2010,28.17142857142857,18.34,0.6510141987829615
DE0005785802,"Fresenius Medical Care Aktie
WKN: 578580 / ISIN: DE0005785802",https://www.finanzen.at/bilanz_guv/fresenius_medical_care,EUR,0.8300000000000001,3.108571428571428,40.05,2003,62.171428571428564,69.72,1.1214154411764707
DE0005790430,"FUCHS PETROLUB Aktie
WKN: 579043 / ISIN: DE0005790430",https://www.finanzen.at/bilanz_guv/fuchs_petrolub_vz,EUR,0.7485714285714286,1.6228571428571428,70.36,2003,32.457142857142856,35.36,1.0894366197183099
PTGAL0AM0009,"GALP Energia,SAReg b Aktie
WKN DE: A0LB24 / ISIN: PTGAL0AM0009","https://www.finanzen.at/bilanz_guv/galp_energia,sareg_b",EUR,0.3628571428571429,0.3057142857142857,38.83,2011,6.114285714285714,14.37,2.350233644859813
