"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2010","0,52","0,52","0","CA Immobilien: GuV (in Mio. EUR)","2,5","37,49","62,51","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2011","0,71","0,71","0,38","CA Immobilien: GuV (in Mio. EUR)","4,37","28,47","71,53","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2012","0,62","0,62","0,38","CA Immobilien: GuV (in Mio. EUR)","4,36","28,75","71,25","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2013","0,55","0,53","0,4","CA Immobilien: GuV (in Mio. EUR)","4,14","36,62","63,38","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2014","0,76","0,76","0,45","CA Immobilien: GuV (in Mio. EUR)","2,91","51,78","48,22","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2015","2,25","2,25","0,5","CA Immobilien: GuV (in Mio. EUR)","2,39","52,11","47,89","",""
"CA Immobilien Aktie [WKN: 64135 / ISIN: AT0000641352]","http://www.finanzen.at/bilanz_guv/CA_Immobilien","CA Immobilien: Die Aktie (in EUR)","2016","1,94","1,94","0,65","CA Immobilien: GuV (in Mio. EUR)","2,76","50,34","49,66","",""
"","","","","","","","","","","","03.05.16","0,50"
"","","","","","","","","","","","28.04.16","0,50"
"","","","","","","","","","","","30.04.15","0,45"
"","","","","","","","","","","","08.05.14","0,38"
"","","","","","","","","","","","07.05.13","0,38"
"","","","","","","","","","","","08.05.12","0,38"
"","","","","","","","","","","","10.05.11","-"
"","","","","","","","","","","","27.09.10","-"
"","","","","","","","","","","","12.05.10","-"
"","","","","","","","","","","","05.05.10","-"
"","","","","","","","","","","","14.05.09","-"
"","","","","","","","","","","","07.05.09","-"
"","","","","","","","","","","","13.05.08","-"
"","","","","","","","","","","","06.05.08","-"
"","","","","","","","","","","","29.05.07","-"
"","","","","","","","","","","","09.05.06","-"
"","","","","","","","","","","","17.05.05","-"
"","","","","","","","","","","","11.05.04","-"
"","","","","","","","","","","","26.05.03","-"
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","conwert: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2010","0,29","0,29","0,3","conwert: GuV (in Mio. EUR)","6,75","36,92","63,08","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2011","0,28","0,28","0,2","conwert: GuV (in Mio. EUR)","3,6","38,93","61,07","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2012","-2,06","-2,06","0","conwert: GuV (in Mio. EUR)","3,14","35,74","64,26","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2013","0,09","0,09","0","conwert: GuV (in Mio. EUR)","6,41","33,69","66,31","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2014","-0,14","-0,14","0","conwert: GuV (in Mio. EUR)","4,71","34,35","65,65","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2015","0,95","0,85","0","conwert: GuV (in Mio. EUR)","5,5","40,61","59,39","",""
"conwert Aktie [WKN: 69775 / ISIN: AT0000697750]","http://www.finanzen.at/bilanz_guv/conwert","conwert: Die Aktie (in EUR)","2016","1,24","1,19","0","conwert: GuV (in Mio. EUR)","5,2","46,12","53,88","",""
"","","","","","","","","","","","28.06.16","0,35"
"","","","","","","","","","","","15.05.15","-"
"","","","","","","","","","","","07.05.14","0,10"
"","","","","","","","","","","","08.05.13","-"
"","","","","","","","","","","","31.05.12","0,20"
"","","","","","","","","","","","20.04.12","0,20"
"","","","","","","","","","","","20.05.11","0,30"
"","","","","","","","","","","","11.10.10","0,25"
"","","","","","","","","","","","15.04.10","0,25"
"","","","","","","","","","","","26.05.09","-"
"","","","","","","","","","","","27.05.08","-"
"","","","","","","","","","","","04.06.07","-"
"","","","","","","","","","","","08.06.06","-"
"","","","","","","","","","","","18.05.05","-"
"","","","","","","","","","","","03.03.05","-"
"","","","","","","","","","","","22.06.04","-"
"","","","","","","","","","","","15.09.03","-"
"","","","","","","","","","","","26.05.03","-"
"","","","","","","","","","","","12.02.03","-"
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Erste Group Bank AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2010","2,7","2,69","0,7","Erste Group Bank AG: GuV (in Mio. EUR)","31,19","6,6","93,4","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2011","-1,89","-1,89","0","Erste Group Bank AG: GuV (in Mio. EUR)","31,13","5,73","94,27","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2012","1,22","1,22","0,4","Erste Group Bank AG: GuV (in Mio. EUR)","29,92","6,01","93,99","",""
"Erste Group Bank Aktie [WKN: 65201 / ISIN: AT0000652011]","http://www.finanzen.at/bilanz_guv/Erste_Group_Bank","Erste Group Bank AG: Die Aktie (in EUR)","2013","0,15","0,15","0,2","Erste Group Bank AG: GuV (in Mio. EUR)","25,01","5,67","94,33","",""
