"Aktien_name","Aktien_URL","Aktien_Bilanzdaten_DieAktie","Aktien_Bilanzdaten_Jahr","Aktien_Bilanzdaten_EPSundiluted","Aktien_Bilanzdaten_EPSdiluted","Aktien_Bilanzdaten_DPS","Aktien_Bilanzdaten_GUV","Aktien_Bilanzdaten_Turnover","Aktien_Bilanzdaten_equityratio","Aktien_Bilanzdaten_deptratio","Aktien_HVDiv_Datum","Aktien_HVDiv_Dividende"
"OMV Aktie [WKN: 74305 / ISIN: AT0000743059]","http://www.finanzen.at/bilanz_guv/OMV","OMV AG: Die Aktie (in EUR)","2016","-1,23","-1,23","1,2","OMV AG: GuV (in Mio. EUR)","58,89","25,46","74,54","",""
"","","","","","","","","","","","18.05.16","1,00"
"","","","","","","","","","","","19.05.15","1,25"
"","","","","","","","","","","","14.05.14","1,25"
"","","","","","","","","","","","15.05.13","1,20"
"","","","","","","","","","","","10.05.12","1,10"
"","","","","","","","","","","","17.05.11","1,00"
"","","","","","","","","","","","26.05.10","1,00"
"","","","","","","","","","","","13.05.09","1,00"
"","","","","","","","","","","","14.05.08","1,25"
"","","","","","","","","","","","24.05.07","1,05"
"","","","","","","","","","","","24.05.06","0,90"
"","","","","","","","","","","","18.05.05","0,44"
"","","","","","","","","","","","18.05.04","0,40"
"","","","","","","","","","","","20.05.03","0,35"
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Österreichische Post AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2010","1,75","1,75","1,6","Österreichische Post AG: GuV (in Mio. EUR)","34,8","40,28","59,72","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2011","1,83","1,82","1,7","Österreichische Post AG: GuV (in Mio. EUR)","34,57","42,08","57,92","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2012","1,82","1,82","1,8","Österreichische Post AG: GuV (in Mio. EUR)","35,03","41,66","58,34","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2013","1,82","1,82","1,9","Österreichische Post AG: GuV (in Mio. EUR)","34,71","42,46","57,54","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2014","2,17","2,17","1,95","Österreichische Post AG: GuV (in Mio. EUR)","35,09","42,01","57,99","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2015","1,06","1,06","0","Österreichische Post AG: GuV (in Mio. EUR)","35,56","39,77","60,23","",""
"Österreichische Post Aktie [WKN DE: A0JML5 / ISIN: AT0000APOST4]","http://www.finanzen.at/bilanz_guv/Oesterreichische_Post","Österreichische Post AG: Die Aktie (in EUR)","2016","2,26","2,26","2","Österreichische Post AG: GuV (in Mio. EUR)","30,06","43,46","56,54","",""
"","","","","","","","","","","","14.04.16","1,95"
"","","","","","","","","","","","15.04.15","1,95"
"","","","","","","","","","","","24.04.14","1,90"
"","","","","","","","","","","","15.04.14","1,90"
"","","","","","","","","","","","18.04.13","1,80"
"","","","","","","","","","","","17.04.12","1,70"
"","","","","","","","","","","","28.04.11","1,60"
"","","","","","","","","","","","22.04.10","1,50"
"","","","","","","","","","","","06.05.09","2,50"
"","","","","","","","","","","","22.04.08","2,40"
"","","","","","","","","","","","26.04.07","1,00"
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2010","5,35","5,35","1,01","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","46,86","5,21","94,79","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2011","4,76","4,76","1,01","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","48,28","4,96","95,04","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2012","3,56","3,56","1,12","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","47,9","5,62","94,38","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2013","1,75","1,75","1,02","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","45,54","5,65","94,35","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2014","-1,73","-1,73","0","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","29","6,4","93,6","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2015","1,3","1,3","0","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","24,62","6,96","93,04","",""
"RBI Aktie [WKN: 60630 / ISIN: AT0000606306]","http://www.finanzen.at/bilanz_guv/RBI","RBI AG (Raiffeisen Bank International): Die Aktie (in EUR)","2016","1,58","1,58","-","RBI AG (Raiffeisen Bank International): GuV (in Mio. EUR)","22,74","7,73","92,27","",""
"","","","","","","","","","","","16.06.16","-"
"","","","","","","","","","","","17.06.15","-"
"","","","","","","","","","","","17.06.14","1,02"
"","","","","","","","","","","","04.06.14","1,02"
"","","","","","","","","","","","26.06.13","1,17"
"","","","","","","","","","","","20.06.12","1,05"
"","","","","","","","","","","","08.06.11","1,05"
"","","","","","","","","","","","08.07.10","0,20"
"","","","","","","","","","","","08.06.10","0,20"
"","","","","","","","","","","","09.06.09","0,93"
"","","","","","","","","","","","10.06.08","0,93"
"","","","","","","","","","","","05.06.07","0,71"
"","","","","","","","","","","","07.06.06","0,45"
"","","","","","","","","","","","08.03.05","0,31"
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","RHI AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2010","2,66","2,66","0,5","RHI AG: GuV (in Mio. EUR)","38,25","22,12","77,88","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2011","3,05","3,05","0,75","RHI AG: GuV (in Mio. EUR)","44,16","25,94","74,06","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2012","2,85","2,85","0,75","RHI AG: GuV (in Mio. EUR)","46,1","25,93","74,07","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2013","1,57","1,57","0,75","RHI AG: GuV (in Mio. EUR)","44,07","27,57","72,43","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2014","1,28","1,28","0,75","RHI AG: GuV (in Mio. EUR)","43,23","25,89","74,11","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2015","0,4","0,4","0,75","RHI AG: GuV (in Mio. EUR)","44,01","26,47","73,53","",""
"RHI Aktie [WKN: 67690 / ISIN: AT0000676903]","http://www.finanzen.at/bilanz_guv/RHI","RHI AG: Die Aktie (in EUR)","2016","1,86","1,86","0,75","RHI AG: GuV (in Mio. EUR)","41,47","28,38","71,62","",""
"","","","","","","","","","","","04.05.16","0,75"
"","","","","","","","","","","","08.05.15","0,75"
"","","","","","","","","","","","09.05.14","0,75"
"","","","","","","","","","","","03.05.13","0,75"
"","","","","","","","","","","","03.05.12","0,75"
"","","","","","","","","","","","06.05.11","0,50"
"","","","","","","","","","","","26.08.10","3,07"
"","","","","","","","","","","","25.06.10","3,07"
"","","","","","","","","","","","27.05.10","-"
"","","","","","","","","","","","30.04.10","-"
"","","","","","","","","","","","05.08.09","3,07"
"","","","","","","","","","","","28.05.09","-"
"","","","","","","","","","","","29.08.08","3,07"
"","","","","","","","","","","","24.07.08","3,07"
"","","","","","","","","","","","29.05.08","-"
"","","","","","","","","","","","26.07.07","3,07"
"","","","","","","","","","","","01.06.07","-"
"","","","","","","","","","","","27.07.06","3,07"
"","","","","","","","","","","","01.06.06","-"
"","","","","","","","","","","","19.05.05","-"
"","","","","","","","","","","","04.08.04","3,07"
"","","","","","","","","","","","27.05.04","-"
"","","","","","","","","","","","25.06.03","3,07"
"","","","","","","","","","","","26.05.03","-"
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Schoeller-Bleckmann: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2010","1,71","1,71","1","Schoeller-Bleckmann: GuV (in Mio. EUR)","19,3","47,37","52,63","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2011","3,33","3,33","1,2","Schoeller-Bleckmann: GuV (in Mio. EUR)","25,6","50,52","49,48","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2012","4,76","4,76","1,5","Schoeller-Bleckmann: GuV (in Mio. EUR)","32,09","51,74","48,26","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2013","3,81","3,81","1,5","Schoeller-Bleckmann: GuV (in Mio. EUR)","28,74","54,07","45,93","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2014","3,38","3,38","1,5","Schoeller-Bleckmann: GuV (in Mio. EUR)","30,61","56,59","43,41","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2015","-1,19","-1,19","0,5","Schoeller-Bleckmann: GuV (in Mio. EUR)","19,63","60,27","39,73","",""
"Schoeller-Bleckmann Aktie [WKN: 94665 / ISIN: AT0000946652]","http://www.finanzen.at/bilanz_guv/Schoeller-Bleckmann","Schoeller-Bleckmann: Die Aktie (in EUR)","2016","-1,75","-1,75","-","Schoeller-Bleckmann: GuV (in Mio. EUR)","11,46","52,3","47,7","",""
"","","","","","","","","","","","27.04.16","0,50"
"","","","","","","","","","","","23.04.15","0,50"
"","","","","","","","","","","","23.04.14","0,50"
"","","","","","","","","","","","25.04.13","0,50"
"","","","","","","","","","","","25.04.12","1,20"
"","","","","","","","","","","","28.04.11","1,00"
"","","","","","","","","","","","28.04.10","0,50"
"","","","","","","","","","","","30.04.09","0,75"
"","","","","","","","","","","","16.04.08","1,10"
"","","","","","","","","","","","19.04.07","0,80"
"","","","","","","","","","","","23.03.06","0,50"
"","","","","","","","","","","","08.03.05","0,40"
"","","","","","","","","","","","30.04.04","0,30"
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Telekom Austria AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2010","0,41","0,41","0,69","Telekom Austria AG: GuV (in Mio. EUR)","9,67","19,51","80,49","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2011","-0,52","-0,52","0,35","Telekom Austria AG: GuV (in Mio. EUR)","9,27","11,84","88,16","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2012","0,21","0,21","0,05","Telekom Austria AG: GuV (in Mio. EUR)","9,01","11,52","88,48","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2013","0,18","0,18","0,05","Telekom Austria AG: GuV (in Mio. EUR)","8,7","19,23","80,77","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2014","-0,46","-0,46","0,05","Telekom Austria AG: GuV (in Mio. EUR)","8,71","19,55","80,45","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2015","0,55","0,55","0,05","Telekom Austria AG: GuV (in Mio. EUR)","6,06","22,07","77,93","",""
"Telekom Austria Aktie [WKN: 72000 / ISIN: AT0000720008]","http://www.finanzen.at/bilanz_guv/Telekom_Austria","Telekom Austria AG: Die Aktie (in EUR)","2016","0,58","0,58","0,2","Telekom Austria AG: GuV (in Mio. EUR)","6,34","27,41","72,59","",""
"","","","","","","","","","","","25.05.16","0,05"
"","","","","","","","","","","","27.05.15","0,05"
"","","","","","","","","","","","28.05.14","0,05"
"","","","","","","","","","","","29.05.13","0,05"
"","","","","","","","","","","","23.05.12","0,38"
"","","","","","","","","","","","19.05.11","0,75"
"","","","","","","","","","","","27.05.10","0,75"
"","","","","","","","","","","","20.05.09","0,75"
"","","","","","","","","","","","20.05.08","0,75"
"","","","","","","","","","","","30.05.07","0,75"
"","","","","","","","","","","","23.05.06","0,55"
"","","","","","","","","","","","25.05.05","0,24"
"","","","","","","","","","","","03.06.04","0,13"
"","","","","","","","","","","","04.06.03","-"
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","UNIQA Insurance AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2010","0,33","0,33","0,4","UNIQA Insurance AG: GuV (in Mio. EUR)","42,39","4,68","95,32","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2011","-1,73","-1,73","0","UNIQA Insurance AG: GuV (in Mio. EUR)","41,76","3,19","96,81","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2012","0,77","0,77","0,25","UNIQA Insurance AG: GuV (in Mio. EUR)","32,3","6,88","93,12","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2013","1,2","1,2","0,35","UNIQA Insurance AG: GuV (in Mio. EUR)","25,42","9,19","90,81","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2014","0,94","0,94","0,42","UNIQA Insurance AG: GuV (in Mio. EUR)","20,36","9,59","90,41","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2015","1,07","1,07","0,47","UNIQA Insurance AG: GuV (in Mio. EUR)","21,14","9,79","90,21","",""
"UNIQA Insurance Aktie [WKN: 82110 / ISIN: AT0000821103]","http://www.finanzen.at/bilanz_guv/UNIQA_Insurance","UNIQA Insurance AG: Die Aktie (in EUR)","2016","0,48","0,48","0,49","UNIQA Insurance AG: GuV (in Mio. EUR)","16,42","9,66","90,34","",""
"","","","","","","","","","","","30.05.16","0,47"
"","","","","","","","","","","","26.05.15","0,42"
"","","","","","","","","","","","26.05.14","0,35"
"","","","","","","","","","","","27.05.13","0,25"
"","","","","","","","","","","","29.05.12","-"
"","","","","","","","","","","","30.05.11","0,40"
"","","","","","","","","","","","31.05.10","0,40"
"","","","","","","","","","","","25.05.09","0,40"
"","","","","","","","","","","","19.05.08","0,50"
"","","","","","","","","","","","21.05.07","0,35"
"","","","","","","","","","","","15.05.06","0,26"
"","","","","","","","","","","","23.05.05","0,22"
"","","","","","","","","","","","24.05.04","0,20"
"","","","","","","","","","","","19.05.03","0,16"
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Verbund AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2010","1,28","1,28","0,55","Verbund AG: GuV (in Mio. EUR)","10,6","35,75","64,25","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2011","1,01","1,01","0,55","Verbund AG: GuV (in Mio. EUR)","11,13","36,46","63,54","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2012","1,12","1,12","0,6","Verbund AG: GuV (in Mio. EUR)","9,14","35,99","64,01","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2013","1,67","1,67","0,55","Verbund AG: GuV (in Mio. EUR)","9,16","38,57","61,43","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2014","0,36","0,36","0,29","Verbund AG: GuV (in Mio. EUR)","8,13","38,29","61,71","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2015","0,6","0,6","0,35","Verbund AG: GuV (in Mio. EUR)","8,55","41,31","58,69","",""
"Verbund Aktie [WKN: 74640 / ISIN: AT0000746409]","http://www.finanzen.at/bilanz_guv/Verbund","Verbund AG: Die Aktie (in EUR)","2016","1,22","1,22","0,29","Verbund AG: GuV (in Mio. EUR)","8,05","43,02","56,98","",""
"","","","","","","","","","","","13.04.16","0,35"
"","","","","","","","","","","","22.04.15","0,29"
"","","","","","","","","","","","09.04.14","0,55"
"","","","","","","","","","","","17.04.13","0,60"
"","","","","","","","","","","","12.04.12","0,55"
"","","","","","","","","","","","13.04.11","0,55"
"","","","","","","","","","","","07.04.10","1,25"
"","","","","","","","","","","","25.03.09","1,05"
"","","","","","","","","","","","26.03.08","0,90"
"","","","","","","","","","","","14.03.07","0,75"
"","","","","","","","","","","","20.03.06","0,50"
"","","","","","","","","","","","10.03.05","0,30"
"","","","","","","","","","","","23.03.04","0,20"
"","","","","","","","","","","","01.04.03","0,14"
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","Vienna Insurance: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2010","2,97","2,97","1","Vienna Insurance: GuV (in Mio. EUR)","72,99","12,08","87,92","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2011","3,18","3,18","1,1","Vienna Insurance: GuV (in Mio. EUR)","75","11,98","88,02","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2012","3,49","3,49","1,2","Vienna Insurance: GuV (in Mio. EUR)","82,16","13,09","86,91","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2013","1,83","1,83","1,3","Vienna Insurance: GuV (in Mio. EUR)","77,9","11,84","88,16","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2014","2,75","2,75","1,4","Vienna Insurance: GuV (in Mio. EUR)","75,73","11,74","88,26","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2015","0,66","0,66","0,6","Vienna Insurance: GuV (in Mio. EUR)","73,99","10,96","89,04","",""
"Vienna Insurance Aktie [WKN: 90850 / ISIN: AT0000908504]","http://www.finanzen.at/bilanz_guv/Vienna_Insurance","Vienna Insurance: Die Aktie (in EUR)","2016","2,16","2,16","0,8","Vienna Insurance: GuV (in Mio. EUR)","73,22","9,26","90,74","",""
"","","","","","","","","","","","13.05.16","0,60"
"","","","","","","","","","","","29.05.15","1,40"
"","","","","","","","","","","","06.06.14","1,30"
"","","","","","","","","","","","03.05.13","1,20"
"","","","","","","","","","","","04.05.12","1,10"
"","","","","","","","","","","","06.05.11","1,00"
"","","","","","","","","","","","29.06.10","0,90"
"","","","","","","","","","","","24.04.09","1,10"
"","","","","","","","","","","","03.06.08","1,10"
"","","","","","","","","","","","25.05.07","0,82"
"","","","","","","","","","","","30.05.06","0,66"
"","","","","","","","","","","","24.05.05","0,55"
"","","","","","","","","","","","16.06.04","0,45"
"","","","","","","","","","","","12.06.03","0,31"
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","","Ergebnis je Aktie unverwässert","Ergebnis je Aktie verwässert","Dividende pro Aktie","voestalpine AG: GuV (in Mio. EUR)","Umsatz je Aktie","Eigenkapitalquote in %","Fremdkapitalquote in %","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2011","3,04","3,04","0,8","voestalpine AG: GuV (in Mio. EUR)","64,99","27,73","72,27","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2012","1,98","1,98","0,8","voestalpine AG: GuV (in Mio. EUR)","71,47","29,92","70,08","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2013","2,61","2,61","0,9","voestalpine AG: GuV (in Mio. EUR)","67,56","30,7","69,3","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2014","2,6","2,6","0,95","voestalpine AG: GuV (in Mio. EUR)","65,12","33,26","66,74","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2015","3,11","3,11","1","voestalpine AG: GuV (in Mio. EUR)","64,9","33,47","66,53","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2016","3,35","3,35","1,05","voestalpine AG: GuV (in Mio. EUR)","63,28","35,51","64,49","",""
"voestalpine Aktie [WKN: 93750 / ISIN: AT0000937503]","http://www.finanzen.at/bilanz_guv/voestalpine","voestalpine AG: Die Aktie (in EUR)","2017","2,84","2,84","1,1","voestalpine AG: GuV (in Mio. EUR)","64,53","36,68","63,32","",""
"","","","","","","","","","","","06.07.16","1,05"
"","","","","","","","","","","","01.07.15","1,00"
"","","","","","","","","","","","02.07.14","0,95"
